enrollment_id,student_id,course_id,term_id
1,1,57,1
2,1,117,1
3,1,75,1
4,1,66,1
5,1,62,1
6,2,13,1
7,2,42,1
8,2,30,1
9,2,16,1
10,2,69,1
11,3,44,1
12,3,33,1
13,3,75,1
14,3,77,1
15,3,24,1
16,4,69,1
17,4,79,1
18,4,5,1
19,4,119,1
20,4,38,1
21,5,21,1
22,5,27,1
23,5,63,1
24,5,47,1
25,5,112,1
26,6,78,1
27,6,45,1
28,6,19,1
29,6,90,1
30,6,64,1
31,7,105,1
32,7,106,1
33,7,91,1
34,7,50,1
35,7,120,1
36,8,62,1
37,8,13,1
38,8,55,1
39,8,110,1
40,8,32,1
41,9,106,1
42,9,16,1
43,9,115,1
44,9,64,1
45,9,26,1
46,10,43,1
47,10,107,1
48,10,10,1
49,10,22,1
50,10,89,1
51,11,95,1
52,11,87,1
53,11,74,1
54,11,70,1
55,11,23,1
56,12,114,1
57,12,58,1
58,12,109,1
59,12,110,1
60,12,61,1
61,13,19,1
62,13,20,1
63,13,34,1
64,13,71,1
65,13,5,1
66,14,69,1
67,14,62,1
68,14,108,1
69,14,37,1
70,14,87,1
71,15,96,1
72,15,10,1
73,15,102,1
74,15,95,1
75,15,111,1
76,16,20,1
77,16,21,1
78,16,44,1
79,16,96,1
80,16,29,1
81,17,76,1
82,17,15,1
83,17,16,1
84,17,21,1
85,17,81,1
86,18,11,1
87,18,31,1
88,18,32,1
89,18,46,1
90,18,43,1
91,19,117,1
92,19,105,1
93,19,106,1
94,19,70,1
95,19,20,1
96,20,13,1
97,20,107,1
98,20,46,1
99,20,3,1
100,20,53,1
101,21,70,1
102,21,108,1
103,21,75,1
104,21,23,1
105,21,63,1
106,22,32,1
107,22,95,1
108,22,119,1
109,22,49,1
110,22,80,1
111,23,23,1
112,23,8,1
113,23,96,1
114,23,53,1
115,23,22,1
116,24,82,1
117,24,57,1
118,24,10,1
119,24,94,1
120,24,69,1
121,25,32,1
122,25,27,1
123,25,53,1
124,25,99,1
125,25,100,1
126,26,3,1
127,26,21,1
128,26,11,1
129,26,110,1
130,26,59,1
131,27,26,1
132,27,115,1
133,27,3,1
134,27,109,1
135,27,25,1
136,28,12,1
137,28,27,1
138,28,70,1
139,28,46,1
140,28,22,1
141,29,12,1
142,29,80,1
143,29,68,1
144,29,67,1
145,29,120,1
146,30,17,1
147,30,72,1
148,30,40,1
149,30,13,1
150,30,9,1
151,31,76,1
152,31,3,1
153,31,69,1
154,31,90,1
155,31,25,1
156,32,93,1
157,32,70,1
158,32,58,1
159,32,48,1
160,32,78,1
161,33,18,1
162,33,48,1
163,33,101,1
164,33,88,1
165,33,51,1
166,34,59,1
167,34,3,1
168,34,110,1
169,34,117,1
170,34,51,1
171,35,64,1
172,35,20,1
173,35,49,1
174,35,62,1
175,35,69,1
176,36,5,1
177,36,3,1
178,36,30,1
179,36,59,1
180,36,116,1
181,37,68,1
182,37,81,1
183,37,46,1
184,37,80,1
185,37,40,1
186,38,106,1
187,38,35,1
188,38,28,1
189,38,94,1
190,38,32,1
191,39,118,1
192,39,22,1
193,39,18,1
194,39,54,1
195,39,56,1
196,40,78,1
197,40,110,1
198,40,2,1
199,40,36,1
200,40,7,1
201,41,64,1
202,41,60,1
203,41,89,1
204,41,40,1
205,41,84,1
206,42,16,1
207,42,21,1
208,42,119,1
209,42,8,1
210,42,40,1
211,43,114,1
212,43,103,1
213,43,59,1
214,43,66,1
215,43,60,1
216,44,15,1
217,44,17,1
218,44,9,1
219,44,29,1
220,44,24,1
221,45,106,1
222,45,81,1
223,45,104,1
224,45,64,1
225,45,82,1
226,46,83,1
227,46,50,1
228,46,40,1
229,46,88,1
230,46,100,1
231,47,72,1
232,47,97,1
233,47,68,1
234,47,74,1
235,47,24,1
236,48,91,1
237,48,95,1
238,48,5,1
239,48,81,1
240,48,4,1
241,49,103,1
242,49,34,1
243,49,31,1
244,49,6,1
245,49,72,1
246,50,114,1
247,50,28,1
248,50,44,1
249,50,104,1
250,50,34,1
251,51,112,1
252,51,6,1
253,51,67,1
254,51,3,1
255,51,111,1
256,52,54,1
257,52,32,1
258,52,88,1
259,52,106,1
260,52,30,1
261,53,96,1
262,53,118,1
263,53,8,1
264,53,108,1
265,53,54,1
266,54,89,1
267,54,48,1
268,54,20,1
269,54,64,1
270,54,34,1
271,55,51,1
272,55,91,1
273,55,105,1
274,55,90,1
275,55,26,1
276,56,80,1
277,56,52,1
278,56,77,1
279,56,63,1
280,56,67,1
281,57,33,1
282,57,13,1
283,57,1,1
284,57,68,1
285,57,109,1
286,58,20,1
287,58,52,1
288,58,86,1
289,58,37,1
290,58,71,1
291,59,56,1
292,59,55,1
293,59,107,1
294,59,18,1
295,59,33,1
296,60,39,1
297,60,98,1
298,60,68,1
299,60,37,1
300,60,33,1
301,61,108,1
302,61,52,1
303,61,77,1
304,61,76,1
305,61,83,1
306,62,85,1
307,62,35,1
308,62,15,1
309,62,119,1
310,62,4,1
311,63,5,1
312,63,103,1
313,63,20,1
314,63,114,1
315,63,22,1
316,64,17,1
317,64,51,1
318,64,64,1
319,64,99,1
320,64,13,1
321,65,61,1
322,65,104,1
323,65,108,1
324,65,54,1
325,65,35,1
326,66,30,1
327,66,85,1
328,66,13,1
329,66,102,1
330,66,79,1
331,67,16,1
332,67,58,1
333,67,39,1
334,67,43,1
335,67,50,1
336,68,1,1
337,68,35,1
338,68,87,1
339,68,12,1
340,68,86,1
341,69,102,1
342,69,92,1
343,69,39,1
344,69,117,1
345,69,48,1
346,70,16,1
347,70,83,1
348,70,11,1
349,70,55,1
350,70,67,1
351,71,77,1
352,71,66,1
353,71,57,1
354,71,110,1
355,71,33,1
356,72,10,1
357,72,85,1
358,72,87,1
359,72,97,1
360,72,101,1
361,73,120,1
362,73,118,1
363,73,114,1
364,73,6,1
365,73,84,1
366,74,39,1
367,74,111,1
368,74,59,1
369,74,55,1
370,74,23,1
371,75,47,1
372,75,89,1
373,75,26,1
374,75,14,1
375,75,62,1
376,76,82,1
377,76,29,1
378,76,111,1
379,76,7,1
380,76,109,1
381,77,94,1
382,77,106,1
383,77,83,1
384,77,89,1
385,77,107,1
386,78,66,1
387,78,88,1
388,78,68,1
389,78,15,1
390,78,59,1
391,79,5,1
392,79,42,1
393,79,106,1
394,79,119,1
395,79,52,1
396,80,44,1
397,80,64,1
398,80,78,1
399,80,43,1
400,80,57,1
401,81,35,1
402,81,109,1
403,81,103,1
404,81,119,1
405,81,49,1
406,82,9,1
407,82,55,1
408,82,27,1
409,82,86,1
410,82,106,1
411,83,99,1
412,83,68,1
413,83,41,1
414,83,98,1
415,83,17,1
416,84,38,1
417,84,20,1
418,84,29,1
419,84,44,1
420,84,62,1
421,85,64,1
422,85,28,1
423,85,107,1
424,85,34,1
425,85,31,1
426,86,63,1
427,86,38,1
428,86,17,1
429,86,53,1
430,86,102,1
431,87,74,1
432,87,67,1
433,87,94,1
434,87,21,1
435,87,44,1
436,88,54,1
437,88,49,1
438,88,115,1
439,88,80,1
440,88,17,1
441,89,91,1
442,89,41,1
443,89,2,1
444,89,51,1
445,89,10,1
446,90,36,1
447,90,84,1
448,90,53,1
449,90,60,1
450,90,57,1
451,91,81,1
452,91,19,1
453,91,61,1
454,91,51,1
455,91,116,1
456,92,118,1
457,92,102,1
458,92,52,1
459,92,101,1
460,92,41,1
461,93,17,1
462,93,26,1
463,93,11,1
464,93,90,1
465,93,33,1
466,94,37,1
467,94,93,1
468,94,86,1
469,94,50,1
470,94,70,1
471,95,111,1
472,95,47,1
473,95,29,1
474,95,15,1
475,95,61,1
476,96,50,1
477,96,77,1
478,96,98,1
479,96,60,1
480,96,88,1
481,97,51,1
482,97,24,1
483,97,32,1
484,97,74,1
485,97,29,1
486,98,75,1
487,98,36,1
488,98,26,1
489,98,115,1
490,98,111,1
491,99,54,1
492,99,45,1
493,99,55,1
494,99,86,1
495,99,29,1
496,100,49,1
497,100,64,1
498,100,65,1
499,100,18,1
500,100,97,1
501,101,52,1
502,101,14,1
503,101,24,1
504,101,54,1
505,101,67,1
506,102,50,1
507,102,111,1
508,102,25,1
509,102,119,1
510,102,21,1
511,103,69,1
512,103,4,1
513,103,59,1
514,103,57,1
515,103,48,1
516,104,25,1
517,104,11,1
518,104,61,1
519,104,55,1
520,104,74,1
521,105,114,1
522,105,90,1
523,105,87,1
524,105,29,1
525,105,71,1
526,106,73,1
527,106,85,1
528,106,107,1
529,106,46,1
530,106,67,1
531,107,3,1
532,107,34,1
533,107,6,1
534,107,80,1
535,107,86,1
536,108,60,1
537,108,85,1
538,108,32,1
539,108,116,1
540,108,75,1
541,109,26,1
542,109,84,1
543,109,42,1
544,109,45,1
545,109,70,1
546,110,30,1
547,110,29,1
548,110,103,1
549,110,58,1
550,110,69,1
551,111,28,1
552,111,76,1
553,111,63,1
554,111,111,1
555,111,20,1
556,112,98,1
557,112,15,1
558,112,101,1
559,112,74,1
560,112,120,1
561,113,86,1
562,113,65,1
563,113,101,1
564,113,28,1
565,113,81,1
566,114,18,1
567,114,116,1
568,114,53,1
569,114,98,1
570,114,26,1
571,115,63,1
572,115,72,1
573,115,94,1
574,115,81,1
575,115,80,1
576,116,44,1
577,116,120,1
578,116,58,1
579,116,80,1
580,116,37,1
581,117,37,1
582,117,67,1
583,117,97,1
584,117,8,1
585,117,27,1
586,118,82,1
587,118,104,1
588,118,113,1
589,118,52,1
590,118,72,1
591,119,51,1
592,119,29,1
593,119,48,1
594,119,64,1
595,119,74,1
596,120,52,1
597,120,119,1
598,120,34,1
599,120,112,1
600,120,115,1
601,121,7,1
602,121,58,1
603,121,35,1
604,121,9,1
605,121,44,1
606,122,118,1
607,122,21,1
608,122,81,1
609,122,85,1
610,122,27,1
611,123,17,1
612,123,47,1
613,123,62,1
614,123,96,1
615,123,90,1
616,124,83,1
617,124,102,1
618,124,30,1
619,124,99,1
620,124,68,1
621,125,14,1
622,125,99,1
623,125,76,1
624,125,3,1
625,125,93,1
626,126,113,1
627,126,111,1
628,126,59,1
629,126,17,1
630,126,20,1
631,127,43,1
632,127,91,1
633,127,100,1
634,127,21,1
635,127,26,1
636,128,25,1
637,128,90,1
638,128,115,1
639,128,67,1
640,128,30,1
641,129,113,1
642,129,119,1
643,129,25,1
644,129,15,1
645,129,8,1
646,130,116,1
647,130,56,1
648,130,79,1
649,130,60,1
650,130,73,1
651,131,1,1
652,131,97,1
653,131,66,1
654,131,46,1
655,131,102,1
656,132,101,1
657,132,75,1
658,132,57,1
659,132,34,1
660,132,63,1
661,133,51,1
662,133,119,1
663,133,76,1
664,133,46,1
665,133,44,1
666,134,93,1
667,134,24,1
668,134,92,1
669,134,26,1
670,134,21,1
671,135,90,1
672,135,7,1
673,135,116,1
674,135,14,1
675,135,60,1
676,136,47,1
677,136,85,1
678,136,109,1
679,136,57,1
680,136,53,1
681,137,69,1
682,137,17,1
683,137,116,1
684,137,44,1
685,137,47,1
686,138,31,1
687,138,76,1
688,138,19,1
689,138,114,1
690,138,30,1
691,139,63,1
692,139,55,1
693,139,47,1
694,139,107,1
695,139,25,1
696,140,4,1
697,140,75,1
698,140,39,1
699,140,82,1
700,140,62,1
701,141,66,1
702,141,24,1
703,141,71,1
704,141,67,1
705,141,1,1
706,142,103,1
707,142,48,1
708,142,19,1
709,142,30,1
710,142,85,1
711,143,108,1
712,143,52,1
713,143,100,1
714,143,65,1
715,143,82,1
716,144,84,1
717,144,33,1
718,144,89,1
719,144,120,1
720,144,17,1
721,145,50,1
722,145,101,1
723,145,74,1
724,145,115,1
725,145,119,1
726,146,60,1
727,146,1,1
728,146,96,1
729,146,112,1
730,146,45,1
731,147,5,1
732,147,15,1
733,147,62,1
734,147,45,1
735,147,107,1
736,148,53,1
737,148,5,1
738,148,66,1
739,148,19,1
740,148,109,1
741,149,105,1
742,149,9,1
743,149,78,1
744,149,19,1
745,149,8,1
746,150,24,1
747,150,97,1
748,150,56,1
749,150,113,1
750,150,103,1
751,151,49,1
752,151,108,1
753,151,8,1
754,151,56,1
755,151,96,1
756,152,90,1
757,152,9,1
758,152,96,1
759,152,42,1
760,152,91,1
761,153,51,1
762,153,66,1
763,153,21,1
764,153,1,1
765,153,49,1
766,154,21,1
767,154,14,1
768,154,74,1
769,154,84,1
770,154,101,1
771,155,18,1
772,155,69,1
773,155,45,1
774,155,70,1
775,155,23,1
776,156,10,1
777,156,52,1
778,156,26,1
779,156,32,1
780,156,70,1
781,157,106,1
782,157,74,1
783,157,111,1
784,157,109,1
785,157,99,1
786,158,55,1
787,158,39,1
788,158,76,1
789,158,87,1
790,158,94,1
791,159,30,1
792,159,25,1
793,159,118,1
794,159,37,1
795,159,115,1
796,160,21,1
797,160,61,1
798,160,24,1
799,160,91,1
800,160,111,1
801,161,10,1
802,161,57,1
803,161,34,1
804,161,20,1
805,161,1,1
806,162,79,1
807,162,40,1
808,162,33,1
809,162,1,1
810,162,15,1
811,163,63,1
812,163,92,1
813,163,65,1
814,163,8,1
815,163,44,1
816,164,16,1
817,164,64,1
818,164,13,1
819,164,114,1
820,164,49,1
821,165,61,1
822,165,117,1
823,165,112,1
824,165,55,1
825,165,19,1
826,166,108,1
827,166,90,1
828,166,45,1
829,166,88,1
830,166,111,1
831,167,19,1
832,167,69,1
833,167,110,1
834,167,36,1
835,167,3,1
836,168,71,1
837,168,39,1
838,168,19,1
839,168,54,1
840,168,73,1
841,169,113,1
842,169,75,1
843,169,16,1
844,169,109,1
845,169,37,1
846,170,110,1
847,170,114,1
848,170,18,1
849,170,37,1
850,170,94,1
