student_id,term_id,risk_score,risk_tier
1,1,0.2341787522445294,Low
2,1,0.3047092209152798,Low
3,1,0.4250540983809322,Medium
4,1,0.4356438397185473,Medium
5,1,0.7227400502392859,High
6,1,0.2345825307060895,Low
7,1,0.1550126007047687,Low
8,1,0.6078899211370054,Medium
9,1,0.1854851793239805,Low
10,1,0.4468251439695141,Medium
11,1,0.1853037877100788,Low
12,1,0.3007052383184623,Low
13,1,0.6403899095504678,Medium
14,1,0.1837360562892588,Low
15,1,0.8022758791714986,High
16,1,0.6214050075273945,Medium
17,1,0.4886081395726742,Medium
18,1,0.2104066820919039,Low
19,1,0.482397896608072,Medium
20,1,0.8353929401050569,High
21,1,0.7925108383962227,High
22,1,0.6995181644801929,Medium
23,1,0.7101368630747125,High
24,1,0.4385274248495409,Medium
25,1,0.1305276183241468,Low
26,1,0.7754457900958591,High
27,1,0.2498452922337311,Low
28,1,0.0994021941254454,Low
29,1,0.3599119215895785,Low
30,1,0.6855745862389346,Medium
31,1,0.5408866796630918,Medium
32,1,0.288618425027384,Low
33,1,0.551390284606897,Medium
34,1,0.6115349714394855,Medium
35,1,0.7407529986041035,High
36,1,0.5623104098395186,Medium
37,1,0.675972352607595,Medium
38,1,0.4667055510486647,Medium
39,1,0.3779269204053044,Low
40,1,0.9045354790385836,High
41,1,0.5504707551456061,Medium
42,1,0.6434998653656312,Medium
43,1,0.5747819883158412,Medium
44,1,0.5423515818837137,Medium
45,1,0.2989011562991365,Low
46,1,0.772150959753837,High
47,1,0.590581172391006,Medium
48,1,0.8815955557930741,High
49,1,0.7297403092893616,High
50,1,0.4097949966180782,Medium
51,1,0.5873772037723651,Medium
52,1,0.6043346204923947,Medium
53,1,0.3571670149839967,Low
54,1,0.8565983925634841,High
55,1,0.2952890778495485,Low
56,1,0.2947592454267915,Low
57,1,0.3501574945415959,Low
58,1,0.4870011790643021,Medium
59,1,0.8365406528024053,High
60,1,0.8595730348574334,High
61,1,0.5863557890874054,Medium
62,1,0.3523595729940149,Low
63,1,0.6685183770516049,Medium
64,1,0.4254287836225892,Medium
65,1,0.3669535053837967,Low
66,1,0.6706869960967657,Medium
67,1,0.3175013001786709,Low
68,1,0.7112799987946629,High
69,1,0.2905378084814597,Low
70,1,0.4018455132135521,Medium
71,1,0.5843861334641407,Medium
72,1,0.2880432703977413,Low
73,1,0.3529736951380216,Low
74,1,0.3235033380828285,Low
75,1,0.8709720487490447,High
76,1,0.6671596454031746,Medium
77,1,0.3596210640023357,Low
78,1,0.6843688643581347,Medium
79,1,0.7876896382176964,High
80,1,0.2056441280232079,Low
81,1,0.4872949682887303,Medium
82,1,0.5647273260136696,Medium
83,1,0.7949242377632117,High
84,1,0.4020237496352111,Medium
85,1,0.826969676833158,High
86,1,0.6294658981018139,Medium
87,1,0.7521720867512579,High
88,1,0.713302239101448,High
89,1,0.3352069511359024,Low
90,1,0.2058501133800715,Low
91,1,0.7353785628428645,High
92,1,0.6039229507816022,Medium
93,1,0.7648003510025387,High
94,1,0.4172895121600833,Medium
95,1,0.944993400431367,High
96,1,0.7081341386412948,High
97,1,0.4922066849071114,Medium
98,1,0.4713241880886429,Medium
99,1,0.5999008497905561,Medium
100,1,0.2997527812558642,Low
101,1,0.658243537717555,Medium
102,1,0.7945242763142967,High
103,1,0.4135629322878159,Medium
104,1,0.3044139077776583,Low
105,1,0.1543035125148188,Low
106,1,0.3090691790255531,Low
107,1,0.1682584458320578,Low
108,1,0.4552324848441046,Medium
109,1,0.6504595738609082,Medium
110,1,0.3093723091225916,Low
111,1,0.7771428653112377,High
112,1,0.2029154701644346,Low
113,1,0.8934044257736174,High
114,1,0.2046652716272934,Low
115,1,0.8594624053232217,High
116,1,0.3221714010399206,Low
